user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
14301570,"Лентач, который уже 3 год подряд берет огромный кусок для шакального арта, говорит про уважение к чужому труду, ИРОНИЧНО.",211,m,26,лентач который год подряд брать огромный кусок шакальный арт говорить уважение чужой труд иронично
290562,"Это война, чё вы хотели",2,m,34,это война что хотеть
196202102,Только представьте сколько людей сидят и ставят точку раз в минуту,40,f,None,только представить сколько человек сидеть ставить точка минута
7351481,"Странно, что лентач царя не рисует",1,m,27,странно лентач царь рисовать
185367764,Переделайте разметку под : лентач x 89squad,0,m,19,переделать разметка лентач x
191576960,"89 сосать, сами выбрали играть с братишкиным, теперь терпите",7,m,None,сосать сам выбрать играть братишкин терпеть
224604237,"https://github.com/JesferMonkaS/newnewpixelbot/blob/main/README.md вот бот, подключайтесь и автоматом рисует",0,m,None,https бот подключаться автомат рисовать
243187951,"Уважающих чужой труд (труд ботов), понимаю",2,m,None,уважать чужой труд труд бот понимать
396432870,"Деф арта, Деф арта, Деф арта, Деф арта, Деф арта",1,m,None,деф арт деф арт деф арт деф арт деф арт
530511322,"лентач, иди поспи. реально. ты достал уже со своими отсталыми стримерам",4,m,None,лентач идти поспать реально достать свой отсталый стример
121819739,"Мне кажется, там бесполезно уже восстанавливать.",0,m,None,я казаться бесполезно восстанавливать
76674976,"Хорошо, что этот кал в последний раз будет.",1,m,29,хорошо кал последний
126650669,"Забавно, что левая четверть рисунка с новичком и египетской силой чистенькая, разве что Навальному кривенько усы пририсовали, а лентачевскую кривизну снесли нафиг",1,f,24,забавно левый четверть рисунок новичок египетский сила чистенький навальный кривенький ус пририсовать лентачевский кривизна снести нафиг
2710857,"Просто закрасить в очередной раз область и нарисовать там какое-то дерьмо - это не труд, это дерьмо.",0,m,31,просто закрасить очередной область нарисовать дерьмо это труд это дерьмо
511110871,ВСЕ ЗА RUSTTT РАСТЕРЫ ЛЮДИИИ,0,m,None,всё за rusttt растер людиия
456564139,"Только ботов уберите,ок да?",0,m,23,только бот убрать около
76674976,"Лентач как следует сасанул, да туда ему и дорога.",0,m,29,лентач следовать сасанула туда дорога
288625346,ОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВОФФАЙТЕ БОТОВ,0,m,None,оффайте ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать ботовоффать бот
614645911,,46,m,118,
158232895,"внатури, арты лентача всратые и ни разу недетализированные, хоть бы раз нормальный арт придумали, как у того же wycc, например",4,m,None,внатурить арт лентач всратый раз недетализировать нормальный арт придумать wycc например
132967151,Либеральный максимализм. Ничего нового.,0,m,27,либеральный максимализм ничто новый
169378172,"[id196202102|Кирилл], Представлять не нужно, в игре есть счетчик, около 90к онлайн.",0,m,None,кирилл представлять нужно игра счётчик около онлайн
541755893,"[id196202102|Кирилл], помогите нарисовать усики Гитлера у навального пожалуйста",0,m,26,кирилл помочь нарисовать усик гитлер навальный пожалуйста
346032967,"[id7351481|Николай], рисовали, он был тут",16,m,None,николай рисовать
249509971,"[id191576960|Владимир], детишки, уйдите,этот паблик не для вас",32,f,None,владимир детишки уйти паблик
356600353,"[id191576960|Владимир], ой, а где ваш арт?",1,m,None,владимир ой ваш арт
191576960,"[id249509971|Zaur], тогда что ты тут делаешь?",0,m,None,zaur делать
160369754,"[id191576960|Владимир], ой, а что у вас с лицом?!
Не получается, да?

Посoсите 💋
Эти земли принадлежат Лентачу и 89 скваду!",1,f,17,владимир ой лицо не получаться посoсит этот земля принадлежать лентач сквад
356600353,"[id191576960|Владимир], боты, а да?",1,m,None,владимир бот
191576960,"[id356600353|Daniil], у нас даже больше, но вы ботами деф але",0,m,None,daniil бот деф але
590118960,"[id191576960|Владимир], ты умрешь",0,m,33,владимир умереть
